ts,node,s_temp_win_c,s_hum_win_pct,s_temp_out_c,s_hum_out_pct
1764310544.9170573,camera,IN_BED_LYING,0.8
1764310551.5320997,window,23.69,47.9,23.3,47.5
1764310554.9920309,camera,AWAKE_IN_ROOM,0.8
1764310561.5379696,window,23.67,47.82,23.3,47.6
1764310565.0682733,camera,AWAKE_IN_ROOM,0.8
1764310571.5433128,window,23.66,47.79,23.3,47.8
1764310575.0718303,camera,AWAKE_IN_ROOM,0.8
1764310581.5482864,window,23.66,47.75,23.3,47.7
1764310585.1481993,camera,AWAKE_IN_ROOM,0.8
1764310591.553729,window,23.65,47.71,23.3,47.7
1764310595.1516206,camera,AWAKE_IN_ROOM,0.8
1764310601.5600595,window,23.64,47.68,23.3,47.7
1764310605.1615152,camera,AWAKE_IN_ROOM,0.8
1764310611.565261,window,23.64,47.65,23.3,47.7
1764310615.232251,camera,AWAKE_IN_ROOM,0.8
1764310621.571847,window,23.63,47.63,23.3,47.7
1764310625.2414858,camera,AWAKE_IN_ROOM,0.8
1764310631.5769296,window,23.63,47.63,23.3,47.9
1764310635.321698,camera,AWAKE_IN_ROOM,0.8
